1,Matt Baguinon, Sa mga nagsasabi na dapat hindi dinadawit ang pangalan ng UPLB sa mga balitang krimen sa Los Ba�os, eto ang tanong para sa inyo.Sa karamihan na nangyaring mga krimen kamakailan lang, masasabi ba talagang walang koneksyon ang UPLB dito maliban sa proksimidad?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Justin Godfred Peralta, UPLB ngayong araw lang.Nagpaprint ako sa iskulmeyts ng reaction paper sa PE-2 Running tapos pumasok ako. pagkatapos ng klase," ay umuwi ako para mag-ayos ng Sarili. 6:33 ng gabi ng tumawag sa akin ang kaibigan ko gamit ang numerong 09175910264 at tinatanung ako kung may nakita ba daw akong phone or nadampot na phone sa skulmeyts kanina kasi ako daw yung huling nagpaprint dun sa PC at yung pangalan ko ay nakita dun. Wala naman talaga sa akin yung telepono kaya ipinaliwanag ko sa kanya. nagpasalamat siya at tumigil yung tawag.Ngayong Gabi mga 11:03 may nagtext sa akin galing sa number na ito: +639295142930Ito yung Text nya:""""Bibigyan kita hanggang bukas para isauli ang cellphone na dinugas m0 sa c0mputer shop. Sabihin m0 lang na napulot m0", malinis pangalan m0. Parang walang ngyari. Kapag hndi m0 ginawa, sisiguraduhin kong hndi matatahimik, justin ng umali. Alam ko kung saan ka nakatira, at san ka matatagpuan. Wag m0ng sayangin ang buhay m0 dahil lang sa isang cellphone. Pag balik ko ng gabi bukas sa c0mpu shop at wala pa dun? Maliit lang ang los ba�os," tandaan m0 yan. Alam m0 na ang tamang desisyon. """"Nagreply ako na di talaga ako kumuha at inexplain ko lang na nagpaprint lang ako at umalis na... Ni hindi ko man lang nakita yung phone na pinaguusapan.At ito ang reply nya:""""Hoy gago", sin0ng tanga ang pipila para mgpa-print at iiwan lang ang pina-print? Ngmamadali ka dahil Nandugas ka. Tigas ng mukha m0 tumanggi. Magingat ka na lang sa paligid m0. Tandaan m0," desisyon mo yan. """" Ilang beses ko siyang tinawagan"," ayaw din naman akong kausapin. at nagpatay na ng telepono.Dalawa po yung napaprint ko na kopya nung paper ko. na click ko yung maliit na icon na print sa taas nung window at akala ko di gumana kasi di nagtanung ng print specifications. minanual print ko yung paper mula dun sa """"file"""" para iprint. saka lang lumabas yung print specifications so akala ko yun lang yung copy. nagbayad na ako", 1 page lang yun, tapos umalis na ako. Di ko na alam na dalawa yung kopya.Hindi po maganda yung pakiramdam na makatanggap ng pagbabanta sa isang bagay na hindi mo ginawa. hindi po makatarungan ang mag-akusa ng kapwa basta basta.     Taga-dito po ako sa los Ba�os, maski ipagtanong nyo pa sa mga tao, hindi po ako ganun. Kung gusto nyo po, tanungin nyo din yung prof ko na pinagpasahan ko ng paper sa oras na yun.     Sa mga nakakakilala sa akin, alam nyo na simple lang ako na tao at hindi magara sa mga kagamitan.     Kung may mangyari man po sa akin, alam nyo na po kung kaninong number ang maaring maakusa.    Sa mga ate sa Iskulmeyts, alam nyo po na nagbayad na ako sa pinaprint ko at alam nyo rin po kung sino itong tao na ito na nag-aakusa at nang babanta sa akin ng ganito. kung may mangyari man po, alam nyo kung sino-sino ang may kinalaman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Josef Alec Geradila, UPB Unang Araw ng Hellweek 2nd Sem, 2012-2013Natrauma kaming blocmates kasi di pa tinatanggap ni sir yung outline namin para sa Kom 1 Argumentative paper. Kaya habang nakain kami ng tanghalian, busy kaming nagrerevise ng outlines namin. Tatlo kaming sabay-sabay na gumagawa sa FoodCourt nang dumating ang isa naming blocmate na itatago natin sa pangalang Jer. Nagtatanung si Jer tungkol sa report nila sa History 102 kinabukasan tungkol sa World War 2 nang biglang napadpad ang usapan namin kay Hitler.Non VerbatimAko: Diba nagpakamatay si Hitler?L: Oo, binaril niya sarili niya.Ako: Alam ko uminom din siya ng Cyanide.L: Oo, tapos binaril din niya sarili niya.S: Hindi, Nagbigti si Hitler.L: Hindi kaya, Nalaglag siya sa hagdan habang may hawak na baril! Yun nabaril niya sarili niya.S: Nakasakay siya sa Bus tapos naaksidente!Ako: Hindi alam ko sumalo siya ng bomba.Jer: Hindi, namatay si Hitler kasi sinapak siya ng Kangaroo!Kaming lahat: O.oAko: Papaano naman nagkaroon ng kangaroo sa Germany!?!Jer: Dati kasi magkatabi ang Germany at Australia sa Pangea! tapos yun kaya na kangaroo sa germany!L: Baka naman binaril siya ng Kangaroo!Ako: O.o Tekken na ata tong pinaguusapan natin eh!Jer: Alam ko na! Namatay si Hitler kasi sinuntok siya ni Devil Jin!(Tawa kaming lahat, sobrang lakas na tawa)L: Hindi!, Nung sinuntok nung kangaroo si Hitler, tumalsik siya hanggang Japan, tapos sakto tinamaan niya yung Atom Bomb sa Nagasaki!!!(Grabe na tawanan namin dito, kaya tinapos na namin yung usapan dito)Siguro talagang sabaw lang kami o gustong magtanggal ng tension o stress, pero talagang ang lupet nung usapan namin eh! ahaha!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Anabelle Que Madridano, UPD, Tambayan ng org. Mga last week ata ito nangyari.Naguusap kami sa tambayan nang may tumawag sa cellphone ni Friend. Telemarketer [or something] mula sa isang kilalang gym/fitness center. Nirefer daw si friend ng isa pa naming kaibigan for.. something. Di ko alam. haha!Mga 10 minutes na ata sila naguusap. Tinatanong nung babae si Friend tungkol sa kung anu-ano. Survey chenes chorvaloo. Nainip na si friend," so nagsulat sya sa papel para mabasa ko.[Non-verbatim]Friend: """"Help me D: This will take forever huhuhu.""""Me: [sulat]  """"LOL kaya mo yan! Basta wag ka magbigay ng personal information.""""-10 more minutes later-Friend: """"heeeeeeelp ayoko naaaa""""Me: [loud voice", medyo nakatutok sa mouthpiece] MR. DELA CRUZ*! WHAT DID I SAY ABOUT USING YOUR MOBILE PHONES IN MY CLASS?!Friend: OMG SORRY SIR.... MA'AM.... SIR......Apparently," narinig nga ako ni ateng telemarketer. Narinig nalang ni friend ang """"OMG I'M SO SORRY"""" tapos biglang binaba yung telepono.Iniisip ko ngayon kung nagtaka ba si ate na nag-""""sir"""" sa akin si friend", kahit na babae yung boses. oh welllllll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Kenneth Hizon, http://www.youtube.com/watch?v=8majjGwwDZYInaalay ko para sa mga nag aaral ngayon para sa kanilang mga exam! :-) One test more!! XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Apple Igharas, Good evening po! May I ask people here a part of their time and answer this survey please? It's for a friend of mine and it's for her group's research in Socsci. Thanks for those who will answer~ :D (: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Janine Cambangay," UP DilimanFood Microbiology (FS 116) class""""UP is not a teaching university. It is a research and public service university. Our main job is not to teach but to research. Pangalawa lang ang teaching. Kaya kami publish nang publish."""" - prof ko (kasi yung mga journal na pinapareading assignment sa amin yung mga journals na siya mismo yung sole author or co-author)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Christian Allen Taleon, student 1: malapit na ang graduation!Student 2 (delayed):   ha? anu yun?=)ang mga bitter nagkukunwaring walang alam =D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Patti Boquiren, Soc Sci 3, UPDNagpakita ng mga *** toys si Prof.Wagas ang tawa.May pasimpleng nagpicture gamit camera niya.Nag-flash./shet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,John Carlo Teraytay, Hindi 'to nangyari within the campus. 8-March 2013," nangyari ang hindi inaasahan.Nagpunta kami sa isang Internal Medicine Doctor para kumuha ng medical certificate. Masasabi mo kagad na sobrang religious ang Doctor kasi marami kang makikita na imahe ni Holy Mary. Maraming """"deboto""""/pasyente na nakapila sa kanya. Lisensyado siyang doktor", doktor din siya sa St. Jude Family Hospital (LB).Lumabas siya ng clinic para daw magsagawa ng Healing Prayer. Malapit na mag-12nn at sobrang init! marami kaming pumunta, galing pa ung iba sa iba't ibang panig sa Pilipinas. Kami ni nanay sa harap agad kasi kailangan talaga namin makausap agad ung doktor dahil urgent ang pakay namin. Hehe," pumunta pala ako sa likod para magtext.Ayun. Nag-umpisa na si Doc magdasal at magsalita. May pinapahid siyang """"HOLY OIL"""" sa'ming lahat.FIRST WAVE:dahil nga nasa likod ako nakikita ko ang nangyayari. May umiyak na dalawang bata", sabi nila, nakita daw nila si Holy Mary at ang napakaraming anghel. Isa-isang nagsitumbahan ang mga matatanda. D*f*q! ako naman panay ang sambot sa mga babaeng natutumba, mga 3 na ung hawak ko then may tutumba pa papunta sakin. (B**ch please) lalaki ung tumumba. Haha! Hindi ko sinalo. I mean, hindi ko na kaya. Ang bibigat niyo.SECOND WAVE:Medyo kumalma na ang marami. Yung iba," stay down lang daw. Hindi na """"HOLY OIL"""" ung gamit niya"," VATICAN SALT naman (pinaliwanag niya naman kung ano ginagawa ng asin. """"may mga sakit na di talaga kayang gamutin basta basta ng medisina tulad ng cancer", diabetes," AIDS at marami pang iba. Un ay mga sakit na gawa ng demonyo...""""). Isinusubo niya ang magic asin sa bibig ng mga pasyente BARE HANDS! holy mama! kitang kita ko na naninikit pa ang laway ng ibang matatanda sa kamay ni Doc. (HOLY B**TCH!!) hindi ako nag-try nun! Isa isa nanaman silang nagsitumbahan! Adrenaline Rush", ambilis ng reflex ko kakasambot sa mga babae, babae lang ulit. haha!Natapos ung Healing Prayer na nakatulala ako at hindi makapaniwala sa nakita ko. Nakuha ko naman ung medical certificates na kailangan ko then sibat kagad kami ni nanay.Kung gusto niyo siya makilala at gusto niyo ring ma-experience un, every Saturday daw ginagawa un.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Janie Rose Talaogon, While collecting data for our research study...(NV)We(researcher):(habang nag iinterview sa isang respondent," about 5yr-old na batang babae ang lumapit at nagtanong)Bata:ate anong ginagawa nyu?R1:nag iinterview kami para sa aming research study tungkol sa """"Relationship of level of Stress and Inferiority(nahirapan kasi e explain in Cebuano :) and nagha2nap kami ng respondents 13-19 yrs old.(we were expcting na hindi na sya mag re2act kasi baka hindi nya na gets ang sinabi sa kanya or talagang nangu2lit lang sya kaya sya nagtanong.pero",subalit,datapwat...Bata: BAKIT ATE, 13-19 YrS OLd LANG BA ANG NAKAKA FEEL NG STRESS???(wid a seryus expression on her face)@kami?? :-OImbang bata.a ui! :-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Benedict Ra�oa Bismark," """"Not just as a senator but as a modernized citizen"," we must do our part and our share to be able to help this country move forward"""" (Migz Zubiri", TopVote 2013)Find out more. FULL INTERVIEW PLAYLIST: http://www.youtube.com/playlist?list=PLHxt9LrAp8Yi6e1RVwarSM8ERH7EXDOFrWith exclusive interviews, one on one with each senatorial candidate, we'll bring the elections to you. Get to know their insights, stories, advocacies and views on various political and economic issues to help you make the informed choice. Who is your #TOPVOTE? Supported by Rappler and the University of the Philippines (UP System),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Karl Angelo A�onuevo Garcia, yung feeling na abutan ako ng brownout sa gitna ng campus hahahahagrabe sobrang dilim :DD katakot ai. . .ilaw lang ng cellphone ko yung natirang buhay hahaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Hamz Ba, Nandito ako sa Starbucks Katipunan, at nagpipigil. May katapat ako na dalawang nakakairitang nilalang na UP student naman sana pero walang ginawa kundi laitin at insultuhin ang ating Alma Mater. Gustong gusto ko nang umalis, gustung gusto ko nang sagutin... pero naisip ko, dapat hindi ko na lang patulan at di ko pansinin. Naawa na lang ako. Kahit ano siguro ang sabihin ko, hindi mababago ang fact na BOBO sila at mababa ang EQ. Yun lang. Rant lang. PS Para sa babae na katapat ko na nag-aalala kung ngayon yung exam nya o hindi: Bakit kasi isang linggo kang di papasok tapos magmumura ka ngayon na di mo alam kung kelan ang exam? Sana talaga ngayon ang exam mo, para mamiss mo, at magkatotoo ang sinasabi mong ma-INC ka. (Sorry, I know I'm mean. But I'm mean only to people who deserve it.) You deserve that," for being """"so caught up in La Salle last week"""". XD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Nikki Rivera, https://docs.google.com/spreadsheet/viewform?formkey=dDRxMEV6R2dUd1lvdG9MQWhNcXVpX1E6MA#gid=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Carl David, Chem 17. PSLH A, UPLB.Sir (NV): If you want to be billionaires, use your knowledge in chemistry. But if you want to live a simple life, teach chemistry.:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Len Lheez Gamao, Isang araw sa may UPD...kid1: eh baket ang dilaw ng ngipin mo sa harap?kid2: eh baket wala kang ngipin sa harap?boom. hahahhaha :)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jennyfer Prisno Novida, Hi everyone! Good morning! Medyo kakapalan ko na ang mukha ko, malapit na kasi yung deadline nung feasib namin. :))Regarding handmade paper po from rice straws. Masyadong marami po kasi yung mga references from the internet tapos nag-iba iba na. I'm quite confused as to the production process of handmade paper. If there's anyone here who knows (most probably from UPLB cos most of my researches highlighted IRRI in UPLB), help would be very much appreciated.Thank you and God bless! :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Kiesha Kate Tidoy, UPB, matagal na tong nangyari, sa SM dun sa NBSayun andun ako sa art section... I picked a book on how to draw a realistic human being while listening to music (obviously, naka earphones ako alangan naman na naka speaker ang cellphone ko habang nakikinig sa music diba) so i flipped pages and read the instructions and kept on looking at the illustrations. minsan nilalapit ko pa ang mga mata ko dun sa page para makita ko ung details, and by details I mean ung pag-shade. sa tabi ko, may dalawang babae na nagkwekwentuhan, since di naman masyadong malakas ung volume, narinig ko sila:(NV)G1: tingnan mo sya oh, eww.G2: oo nga, kababae nyang tao, ganyan ang ginagawa nya(me: what the hell are they talking about?)G1: kabastusan.(puro naked drawings kasi ung tinitingnan ko... ahh kaya pala ganun...)G2: kaya pala eh... UP sya.(suot ko kasi ung bloc jacket namin na may seal ng UP sa sleeve)G1: baka tomboy yan kaya ganyan, UP nga naman diba.(me: asdsfdgfhfhj!!!! enough!)inalis ko ung earphones ko, stared at them from head to toe and smiledme: Got a problem?di ko na hinintay na makapagsalita sila, i just returned the book and walked out.nalala ko lang, kasi nakita ko ung drawings ko after nun at dahil dun sa librong un mejo natutunan ko naman mag-shade ng maayos. (hahaha, in your face b*tches!)P.S. hindi ako fine arts major, gusto ko lang talaga magdraw :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,James Relativo," Mula sa thesis adviser namin at propesor ng Peryodismo sa UP Diliman. Maugong kasi lagi kapag eleksyon ang naglipanang mga """"aktibista"," lahat aktibista. Food for thought lang para sa mga naghahain ng """"alternative activism."""" :))""""Sadyang iba na ang kanilang konsepto ng pagbabago. Para sa ilang nakatatanda", sila ay nagtataguyod ng isang porma ng aktibismong nakikipagtulungan sa mga nasa kapangyarihan. Ito raw ang klase ng aktibismong magbubunga ng resulta," hindi ang direktang pagbatikos sa pamahalaan. Pinipilit nilang bigyan ng sariling kahulugan ang aktibismo para ito ay maging katanggap-tanggap sa nakararami. Pinipilit nilang ipalaganap ang mensaheng luma na ang militanteng pagbatikos at dapat nang yakapin ang diumanong mapayapang pagkilos.Posibleng madala ang isang tao sa ganitong argumento lalo naﾒt nangangahulugan ito ng mas simpleng paraan ng pagkilos. Hindi na niya kailangang magsakripisyo nang todo-todo. Makakaya niyang kumilos para sa pagbabago kung kailan lang niya gusto. Walang problema kung siya ay magtatrabaho o mag-aaral mula Lunes hanggang Biyernes at magiging aktibista lang kung Sabadoﾒt Linggo.Pero ang tanong: Ito ba ang aktibismong kinakailangan ng lipunan? Siguroﾒy kailangan ng mas malalim pang tanong: Bakit kailangang baguhin ang lipunan sa paraang nagsasakripisyo ang iilan?""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Marvin Mendoza Bilog," Yung totoo. Bakit halos lahat ng pinagpiprintan kong computer shop around UPLB ay may """"autorun.inf"""" virus? parang Contagion lang. haha :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Biel Remoquillo," Habang nanunuod ng """"Mangarap ka"""" (isang sinaunang sine na ang main Focus ay ang track and field sa UP (D/B/LB) )eh nagttxt din sa kaibigan ko na tiga *Some other university* na nanonood din nun. Ito ang aming convo (inayos ko nalang", at medyo ala jejemon magtxt yun eh)Ako: haha oh diba, may injury na nakakatakbo padin ng mabilis ang bida?Siya: hehehe oo nga no, siguro yan nalang din ang huling panalo ng UP sa mga competitions na nagaganap ...*tadtad ng insults tungkol sa UAAP at kung ano pa*Ako: Nice talking pre...Kung kayo ang katxt nitong kaibigan ko, ano ang huling reply niyo para sa kanya?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Priscilla Mae Guevarra""",<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,James-Andrew R. Sarmiento, Last year, nung pinublish online yung results ng UPCAT 2012, dali-dali kong hinanap ung site. May nagsabi kasi sakin, nakapasa raw ako. Nung naopen ko na ung website...Me: *scroll scroll* Sarmiento... S.. S... (feeling nervous....) Tama naman yung alphabet na alam ko ah. *nagsimula ulit sa umpisa at nagbasa ng malakas*  L, M, N, O, P, Q, R, S, T... Bakit wala? Baka niloloko lang niya ko. *starts to frown* Ang konti pala ng nakapasa... *scroll up and down ulit hanggang sa nakita ko ung ilang names ng mga kong classmate nung 4th year, mga less than 5 sila*Me: Buti pa sila nakapasa, 30+ kami nagtake tapos sila lang pumasa? San na ko mag-aaral niyan? At dahil depressed na ko nung mga panahon na yun, yumuko na lang ako saglit, yung tipong ginagawa pag matutulog sa arm desk hanggang sa nabunggo ko yung mouse. Nung handa na kong tanggapin ang lahat, laking gulat ko nang dumami ung mga pangalan na nakadisplay sa site...Hanggang sa narealize ko," """"interval lang pala ng mga names yung nabasa ko kanina"," kaya pala ang kokonti""""Nakita ko naman yung pangalan ko. Parang tumigil talaga ung mundo ko nung di ko mahanap kanina eh. Kala ko magiging taong grasa na ko.Lesson Learned: Pindot Pindot din 'pag may time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Jay Laranang, Naalala ko lang. UPB. Knock-knock ni Prof sa BLL101 nung 1st sem :)))Prof: Knock-knockClass: Who's there?Prof: Anggi.Class: Anggi who?Prof: Angginaw. XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Maria Erika Camille Antonio," Sarap i-share eh. HeheTaga-UPB ako at ang mga tauhan sa kwentong to. :""""))**So ayun sa boarding house ito naganap.Friday ng gabi (Feb 8",2013)Napagdesisyunan ng aking mga kapampangan friends na mag-shot sa bahay at magmovie marathon. Ewan ko ba pero given na man na ata na pag kapampangan, sigurado MAINGAY at MALAKAS magsalita, yung galit lagi ang tono. Hehe.So ayun, sa madaling salita medyo napa-ingay kami noong gabing yun (Well, hindi pala, madalas pala kaming maingay.Kung pwede lang kami mademanda dahil sa dami nang natatanggap na reklamo ng floor namin, eh siguro matagal na kami nakulong. Hehe). Napakasaya pa naman namin nung gabing yun, hell week kasi kaya naman pagsapit ng friday eh bumawi.Buong akala ko tuloy-tuloy na ang kasiyahan.Natulog kami ng mga 3am. Sarap ng tulog ko. Cloud 9.***Pagkagising ko," may mga missed calls at text msgs na talaga nga namang gumimbal sa akin.1st text msg ni landlady sa akin:""""Nirereklamo kayo ng buong neighborhood. May hazing daw diyan kagabi.""""AKO:WTFFFFFFFFFFFF?!!!! Hazing?! OO! May hazing nga! Tinorture kami ng husto ng mga horror movies na napanood namin. Tae. Nagrebolusyon agad ang damdamin ko. Soro girl pa naman ako"," at kasama ko ang sis ko sa overnight na to. At walang Hazing. Hindi uso. Haha. So yun. Tinawanan at pinabayaan ko lang.2nd msg ni landlady (Tinext daw ito nung nagrereklamo samin):""""DAMI PONG LALAKI PINAPAUBAD ANG PANTI NUNG ISANG BABAE TINGEN PO NAMIN NAKA DRUGS MGA ITO!"""" AKO: Srsly?!!!!!!! Sana nga may nagpapahubad", pero wala eh! WALA!!! Nyemas. Banas na banas ako at halos magrebolusyon na itong mga kasama ko sa nabasa. Panget eh. Bastos. Nakakasira ng image. Doon ko narealize na chismoso talaga itong mga taga neighborhood. Okay na sana. Okay na. Malaman laman lang namin na sa isang PASTOR (Hindi po ako galit sa mga pastor, mataas respeto ko sakanila kaya sorry na :))))) ) nanggaling ang mga chismis-chismis. Lamoyunnnnnnn? Nagulantang talaga kami. Haha.*****At nang makipagusap kami sa pastor na yun, para linawin ang mga bagay, magsorry( dahil sa ingay lang, at di dun sa mga kwentong barbers niya) at siyempre ipagtanggol ang sarili napagalaman naming... Takot lahat ng mga kapit-bahay namin saamin. At pinag-iingat ang mga tao samin(Tipong pagnakikita nila kami," parang may nakasulat saaming noo na: """"TAGA 2ND FLOOR ORANGE HOUSE AKO. DON'T MESS WITH ME"""" sign todo iwas saamin yung mga tao", creepy. Hahaha BATAAAAAAAS! >:D At marami pa kaming natuklasan, kesyo pinlano daw naming looban ang isang sari-sari store at sinusunog daw namin ang buhok ng isa't-isa (Ano? Ot-Ot lang?) Hahaha. Ganoon pa man, dito ma-aapply ang turo saamin ng aking Journ101 Prof na si Sir.Amor. Triangulation. Bago maniwala sa kung ano anong aligasyon, kailangan paring mag-imbestiga at magtanong. Magtanong hindi lang sa isa kundi sa lahat ng pwedeng pagtanungan. Yung credible at hindi barbero.Ang ending, kami ang binansagang... KILABOT NG MILITARY CUT-OFF.Sa susunod na pagbisita niyo sa baguio, itext niyo lang kami. Gagawin naming kakilakilabot ang stay niyo dito. Haha. Deh. KTHNXBYE. :)))))),,,,,,,,,,,,,,,,,,,,,,,,,
69,Kringy Ibanez, Freshie days. Meron akong core subject nun na ang sched is 4-5:30 pm. Ok lang sana, kaso before ng class kong yun may 3hour laboratory class ako and sunod sunod na lecture classes. So, ayun, pagdating sa class, pagod, bangag, gutom. Hindi ko na talaga mapigilang mkatulog or matulala sa class kahit alam ko na terror Prof sya and mahirap magpa-exam..LOL..Final grade ko for that subject is 4.0Then, here comes the removal week..Pumunta ako sa Prof ko for removal sched and tinanong ko sya if anu coverage ng exam. She told me that it's going to cover the whole syllabus (ung 1inch thick na syllabus namin). So, ok, nag-aral ako. As in buong syllabus inaral ko. Lahat ng theories isiksik ko sa utak ko, kulang n lang i-photocopy ko yung buong syllabus sa utak ko.Exam day. Sinalubong ako ng Prof ko, sabi nya personalized yung exam for me. Kinabahan na ako. Yung puso ko kumakabog na. Sa isip ko," """"sh*t"," bagsak na ata ako.""""Nung nabasa ko yung exam questions", natulala ako..As in..50 essay questions..Sample ng exam questions ko..1. For me not to get a grade of 4 again, I should not _______________________.2. To avoid sleeping in class, I should _______________________.3. If there's something I could have done differently for this class, it is ________________________.So ayun, ganun yung removal exam ko. 50 essay questions na ganun yung type..hahaha!Pagsubmit ko ng paper ko, sabi sakin ng Prof ko (with smiles)," """"So"," sa tingin mo papasa ka?""""Ngiti na lang naisagot ko kasi sobrang sakit na ng kamay ko.. Swear!! :-P",,,,,,,,,,,,,,,,,,,,,,,,,,
70,Tin Madrio, I have a younger sister who took the UPCAT last year. When the results came out, she immediately texted me. Sabi niya kelangan ko daw sya tawagan kasi may VERY IMPORTANT THING daw sya na sasabihin. Ako naman, ate na nataranta, tumawag kaagad.. At ito ang conversation namin..Younger Sis: Ate, meron na result ng UPCAT.. *sobbing* Ako: And? Bat ka umiiyak? Tears of joy? Ayusin mo nga sinasabi mo..YS: Diko makita name ko dun.. Wala ako sa list.. Sira ba yung site? Hindi ba ako nakapasa? (denial stage pa ang kapatid ko)..Ako: (bilang compassionate na ate) Nakooow! Check ko nalang later. Tsaka, okay lang yun kung wala name mo dun.. It's not the end of the world pa naman e! Hehehe (pampalubag loob)..YS: Oo, hindi nga end ng world. KASI END NG BUONG UNIVERSE KO! (Hagulgol)Aaaaaaaw.. At ako'y biglang naspeechless. Naawa ako sa kapatid ko.. :[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Glen Mark Ventura Doliro, [INTERNSHIP OPPORTUNITY W/ FLEXIBLE WORKING SCHEDULE]Are you a DOST scholar who is required to secure an internship program but you need to take summer classes for some reasons? Do you want to enjoy the benefit given by DOST to their scholars who can earn two hundred forty (240) FLEXIBLE hours of on-the-job training? If YES, this is your OPPORTUNITY!If interested, kindly fill out the form belowhttps://docs.google.com/forms/d/1xM-XKLT64d5Agx28qrdOP5MwGiaK6Dtz74G-AFBH-mE/edit#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Patty Tamase, Need a little help this coming finals week?We've got your back!UP Mathematics Majors' Circleand UP Mathematics ClubIn cooperation withDiliman Learning Resource Center TutorsBring youMATH 53 FINALS TUTORIALSApril 1, 20139 - 12 pmMath BuildingYour key to acing your Math 53 Finals!Don't miss it!For more details, please contact Moses (0915 563 1378),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Marianne Camille Basa," Pwede pong magtanong? Meron po bang tagalog ang """"Honor and Excellence"""" ?  Sorry sabaw na po ko. Di ko na maisip eh. hell sem ><",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Patotsky Woods, I encourage all students and voters to read this graduation message by Rep. Edwin Olivarez of Paranaque.Mas pinatibay kasi nito yung paniniwala ko para sa mura at de-kalidad na edukasyon, kasabay na rin ng matalinong pagboto sa darating na eleksyon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
