Kumeresign,7 Days na lang. #PiliPinas2016 Debates na naman!!!
Popoygee,@ABSCBNNews its an attack to the Constitution.anong democracy? #PiliPinas2016 #PHVoteSantiago pa din
degeneratejon,"""Balik Death Penalty""
#PHVoteDuterte 
#PiliPinas2016 
#GetElectedin3Words
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
degeneratejon,"""Matuwid na Daan""
#PHVoteRoxas 
#PiliPinas2016 
#GetElectedin3Words
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
degeneratejon,"""Hindi ako Kano!""
#PHVotePoe 
#PiliPinas2016 
#GetElectedin3Words
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
degeneratejon,"""Wala akong sakit""
#PHVoteSantiago 
#PiliPinas2016 
#GetElectedin3Words
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
degeneratejon,"""Dito sa Makati""
#GetElectedin3Words
#PHVoteBinay 
#PiliPinas2016 
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
chiminychurva,@bromanceMD suhulan mo ako ng scandal kapalit ng boto. Charot! #PiliPinas2016
chiminychurva,Gusto yata nilang bumangon si Cecilia Munoz Palma mula sa puntod. #PiliPinas2016  https://t.co/zG4X2UvHWx
bkdilao,I dont understand why a person with a pending case can run for president. #PiliPinas2016
marhgil,"Who is your President? Vote now! https://t.co/2k7rgYgRHo
#PHVoteRoxas #PHVoteBinay #PHVoteDuterte #PHVotePoe #PHVoteSantiago #PiliPinas2016"
chiminychurva,@bromanceMD imagine mo na lang fresh grad applicant c #PHVotePoe . Lol #PiliPinas2016
janneyn,woaaaah astig -&gt; #PiliPinas  #PiliPinas2016
Paulelli,2 months na lang. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> #PiliPinas2016
selhopenkang,@chiminychurva Meron 'yan mars kailangan i-scratch yung paper para lumabas yung 69 WAHAHA! #PiliPinas2016 #PHVoteKang 8===D
Mjssanpedro,Napipikon ako sa election-related post na walang ginawa kundi mag-misinform o mang-disorient ng tao. #PiliPinas2016 #PhilippineElections2016
chiminychurva,Sigr madam. Kahit hanggang 5 lang ang number hahanapin ko ang 69. #PiliPinas2016  https://t.co/u8VE4trjbN
selhopenkang,Thank you mars @chiminychurva  boto mo ako ha #69 sa balota WAHAHA! #PiliPinas2016 #PHVoteKang 8===D
chiminylovato,@PHVote @rapplerdotcom nagbitter na naman ang gorillang ito. Palibhasa talo ni #PHVotePoe sa survey. Bwahahahaa #PiliPinas2016
FernandezDrew,Have you heard Binay's 5P radio ad? Next election it will either 5Ps or 6P. #PiliPinas2016
its_janabarbra,#PiliPinas2016 #phvoteduterte https://t.co/0xL4Ta22UC
its_janabarbra,True Senyora #PiliPinas2016  https://t.co/s82KAHkfmO
mrdcfblanco,#PiliPinas2016
chiminychurva,"Dahil gusto ko ng pagbabago, si @selhopenkang ang iboboto ko. #PiliPinas2016 
#PiliPinasDebates2016  https://t.co/52PbvzwkbL"
Jaime_Jr89,"Got my Duterte Ballers from Phil. Thanks t joie
#PHVoteDuterte 
#PiliPinas2016 
#tunogpagbabago
#ChangeIsComing https://t.co/33JQGm7xhh"
DJMendez_17,"Nang dahil sa #POEtangInang SC ruling na iyan, napa-review tuloy ako ng 1987 Constitution. #PiliPinas2016 #HuwagBobotante"
jennifajardo,#PiliPinas2016  https://t.co/zzdlmaYm8a
phoebedelacruz,"Aliw!!!!
#PHVoteRoxas 
#PHVoteBinay 
#PHVotePoe 
#PHVoteDuterte 
#PHVoteSantiago 
#PiliPinas2016"
UST_SDP1981,"#BilangTomasino, ang boto natin ay para sa ating pamilya #BoTomasino #Aktiboto #PiliPinas2016 <ed><U+00A0><U+00BD><ed><U+00B0><U+00AF> https://t.co/PKJgpesqvA"
marhgil,"Let's play! https://t.co/dsbgvGjeGg
#PHVoteSantiago #PHVoteRoxas #PHVoteBinay #PHVoteDuterte #PHVotePoe #PiliPinas2016"
mspcanada,WATCH @mspcanada urge kababayans to #VoteMigrante70 &amp; @ColmenaresPH on their ballots #Halalan2016 #PiliPinas2016 https://t.co/zQDsTDNNlC
suigeneris_05,"Tungo sa Daang Matuwid.
Ipagpatuloy at pupunan kung may pagkukulang.

#PHVoteRoxas and Leni Robredo.

#PiliPinas2016 https://t.co/OiRjn9Ljyu"
DJMendez_17,"Alam niyo ba ang pakiramdam na parang nawawala na ang rule of law? #PiliPinas2016
#POEtangIna #HuwagBobotante https://t.co/3NsbTaA4mk"
pualg,"Ang iyong iboboto ay hnd dpt kng sino ang Llamado at Dehado! dhl mdls kng sno ang Llamado, bayan nmn ang nagiging dehado! #PiliPinas2016"
mindanaoan,Was on a 3-hour road trip today. Only spotted a handful of tarps of senatorial candidates along national highways. #PiliPinas2016
pualg,"With how events are unfolding, I thnk dt d result of d elections will bring out a big disaster for d country! #Election2016 #PiliPinas2016"
Nichiirawberry,#Duterte2016 #DuterteCayetano #PiliPinas2016  https://t.co/QAFmVl4pMu
xzuriel,#Twitter launches #PiliPinas2016 #TwitterElection hashtags and presidentalﾅ https://t.co/Lb0lYfVnXl #Philippines
francel200,"Twitter, COMELEC officially launch exclusive #PiliPinas2016 and Presidential Candidate Emojis -... https://t.co/V7GTHdQwvH"
francel200,"Twitter, COMELEC officially launch exclusive #PiliPinas2016 and Presidential Candidate Emojis https://t.co/8D1V2Q11n3"
techbloggerzone,"Twitter, COMELEC officially launch exclusive #PiliPinas2016 and Presidentialﾅ https://t.co/6Z9MtA2nWV https://t.co/i8uVJYCrUJ"
neyarb07,"I don't know who the hell posted this on our gate, but no. No. Don't me. Haha #PiliPinas2016 https://t.co/gbmpXvuOPv"
xzuriel,#pinoytech Twitter launches #PiliPinas2016 #TwitterElection hashtags and presidental emojis: Twit... https://t.co/YsuPrpF1hP #Philippines
officialPTB,"https://t.co/na8nFX0zIr Use #PHVoteBinay, #PHVoteDuterte, #PHVotePoe, #PHVoteRoxas or #PHVoteSantiago to show your support to your candidate"
officialPTB,https://t.co/na8nFX0zIr Twitter launches #PiliPinas2016 #TwitterElection hashtags
TechNgayon,Twitter launches #PiliPinas2016  #TwitterElection hashtags and presidental emojis | Read: https://t.co/zbc36hjFRA via PinoyTechBlogﾩ
DJMendez_17,POEtang ina! Sarap sampalin ng kimchi ang mga kumag sa SC! #PiliPinas2016 https://t.co/vl5SfdbDMl
DJMendez_17,That 9-6 SC decision felt like this...#PiliPinas2016 https://t.co/k1QXnDn2uQ
jhelouise,"#PHVoteDuterte  
#PHVoteSantiago 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteBinay 
#PiliPinas2016 
-these emoji's tho!"
DJMendez_17,CTTO. #PiliPinas2016 #HuwagBobotante #BilangPilipino #Eleksyon2016 https://t.co/VcTkzuzUyr
suigeneris_05,"Continuity/Continuation of these gains is a must.
Let's choose no other than #PHVoteRoxas &amp; Robredo they're apt for the job

#PiliPinas2016"
DJMendez_17,Bakit naging fucked up ang gov't natin? Kasi bobotantes keep on voting officials that are sons of a bitch. #PiliPinas2016
PrivateRyann_,Uso pa pala sayawan sa mga sorties? *bleh* <ed><U+00A0><U+00BD><ed><U+00B8><U+00A8><ed><U+00A0><U+00BD><ed><U+00B8><U+00A8><ed><U+00A0><U+00BD><ed><U+00B8><U+00A8> #PiliPinas2016 #PiliPinas
markjntn,"#PHVoteSantiago 
#PHVotePoe 
#PHVoteDuterte 
#PHVoteRoxas 
#PHVoteBinay 
#PiliPinas2016 
<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+0085>"
DJMendez_17,"Bobotante - botante hindi nag-reresearch, bayaran, nadadala sa mga pamigay, umaasa sa survey / name recall / ads. #PiliPinas2016"
DJMendez_17,"Enough with patronage politics, bobotantes! #PiliPinas2016"
JENNerous17,Gusto nyo magbago ang kalagayan ng Pilipinas pero takot kayo sa bagong pamamalakad. So pano TraPo nanaman ba iboboto nyo? #PiliPinas2016
SilverOlegario,Ako lang ba talaga ang naaasar pag nagsasalita si Mar Roxas? #BilangPilipino #Eleksyon2016 #PiliPinas2016
rover_magdale,"Twitter Emojis for  https://t.co/j2BBVfFR3s
#PHVoteDuterte"
PAByoulocca,"Dear soon to be President,
Free tuition fee sa mga gustong mag-aral please. #PiliPinas2016"
RolfAgas,"@senmiriam #MiriamFight #SiMiriamAngSagot 
#Miriam2016 #Pilipinas #Pilipinas2016  #PHVoteDuterte  #PHVoteSantiago https://t.co/gOl10YAiAY"
RolfAgas,"PH shud listen to Duterte abt Sen Santiago. 
#Miriam2016 #Pilipinas #Pilipinas2016  #PHVoteDuterte  #PHVoteSantiago https://t.co/4enWXhemla"
help017,"The Meaning Of Life
https://t.co/iEw0hJvKZt
https://t.co/D6lnOOV58H
https://t.co/7qQoSghmAc
https://t.co/qFWzgBMgje

#PiliPinas2016"
jhelouise,"""MA-ROB tayong lahat sa 2016!"" - tamang tama yung tandem #PiliPinas2016 #DU30 #mds"
UPsaHalalan,Two events to raffle off debate tickets to public https://t.co/cTXBt1Txq3 via @cebudailynews #PiliPinasDebates2016 #PiliPinas2016
PHpolitics612,@PHVote Noynoy is too distracted with supporting his party to lead the country. Misplaced priorities! #PiliPinas2016 #PiliPinas
PHpolitics612,@interaksyon @AldenMonzon Effective leaders take ownership vs constantly blaming others for problems. #PiliPinas2016 #PiliPinas
iambluefish,@senmiriam  Then why run with Marcos?  #confused #PiliPinas2016<U+200A><U+200A><U+200A> #PHVote  #RoxasRobredo https://t.co/6duOfJVOif
yaellow,"moment of silence for these emojiz

#PHVoteSantiago
#PHVotePoe
#PHVoteDuterte
#PHVoteBinay
#PHVoteRoxas
#PiliPinas2016"
PHpolitics612,@PhilippineStar @hey_marv Just saying...Is justice really blind? #PiliPinas #PiliPinas2016 #NoPoe https://t.co/2IQ1ihtevs
PAByoulocca,"Dear soon to be President,
Sana po alisin niyo po 'yung K to 12. Thankyou!
#PiliPinas2016"
DJMendez_17,9-6 in favor of her? What the Hades?? #PiliPinas2016 #GoodbyeRuleOfLaw
mymindpalace221,"Buti pa sa Pampanga, credentials/platforms ng candidates nasa tarp. Sa Nueva Ecija, puro mukha lang. Syet. #pilipinas2016"
hellnopanda,If only all the social media noise can translate into actual votes. #PiliPinas2016
AlinPiyaya,#PHVote  #PiliPinas2016 https://t.co/NDJoZar2LJ
Malaya_Online,".@SenGracePOE is now qualified to run as president #PiliPinas2016 #Eleksyon2016
 https://t.co/s7lYAtmY7u"
queertastically,#PiliPinas2016: Keep choice 4 &amp; swap others for #PHVoteBinay #PHVoteRoxas #PHVoteDuterte #PHVotePoe #PHVoteSantiago https://t.co/NI1w3ptH3c
chiminychurva,@avesapirena @Team_Inquirer @iammarlonramos epal talaga #PiliPinas2016
denzeeeeeeeeeel,Yesterday's Mock Election sponsored by the College Student Council. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #PiliPinas2016ﾅ https://t.co/uOQEvm6FOE
iemIrene,"Dear Supreme Court,
Wag nyo naman kaming gawing tanga. Marunong naman kaming magsulat at magbasa. #Pilipinas2016"
iemIrene,"Having Poe as a candidate, may pag-asa pa ba tayo? Mismong Supreme Court inuuto na tayo. #Pilipinas2016"
iemIrene,Nabibili pala ang batas sa Pilipinas. Un pinayagan nilang tumakbo na presidente ang isang hindi Pilipino. #Pilipinas2016 #Election2016
speakUPiskolar,"#PiliPinas2016

Here's how to get a FREE PASS to the #PilipinasDebates2016 Visayas Leg to be held in UP Cebu... https://t.co/gjmff6iV3w"
vbfanatic1989,"#PHVoteBinay
#PHVoteRoxas
#PHVotePoe
#PHVoteDuterte
#PHVoteSantiago
#PiliPinas2016"
vbfanatic1989,"#PHVoteBinay
#PHVoteMar
#PHVotePoe
#PHVoteDuterte
#PHVoteMiriam
#PiliPinas2016"
tmhiong,Iboto si dick gordon! #PiliPinas2016
larapollen,"Karamihan sa lawyers na kilala ko, buong pamilya American citizen pero pinili nila mag stay sa Pinas. #hustisyanaman #PiliPinas2016"
primpaypon,I wonder why the boy awaits for the arrival of @MARoxas and @lenirobredo. #PiliPinas2016  https://t.co/PLngRPeUr1
cmlasa,phEMOJIS!! #PiliPinas #PiliPinas2016  https://t.co/9y2RmuWpiZ
_ChristianDale_,"Mr. Roxas, alam mo rin ba ang droga sa Makati City Jail? #PiliPinas2016"
paoierawr,#PiliPinas2016
Gabby_09,#PHVotePoe  is a #FRAUD  #fake #Filipino #PiliPinas2016 #PiliPinas #Philippines #Halalan2016 #DuterteCayetano https://t.co/CDSIqKjwyW
Gabby_09,#Halalan2016 #PHVote #PHVotePoe  #Mabuhay #mabuhiangpilipino  #lupanghinirang #akoaypinoy #pilipinas #PiliPinas2016 https://t.co/oiufxZBTX8
govph,Information and reminders to help you through the 2016 election season: https://t.co/gUoFPq9Guq #PiliPinas2016 https://t.co/vRxtKrsLzg
govph,"Application for local absentee voting has been extended. For details, visit: https://t.co/l53yY77HxW #PiliPinas2016 https://t.co/8qOXIQfGtp"
imichaelvicente,"Twitter Hashtags for #PiliPinas2016
#PHVoteDuterte
#PHVotePoe
#PHVoteBinay
#PHVoteSantiago
#PHVoteRoxas
https://t.co/KpdInI5cE5"
TrendPhilippine,"Emojis for #PiliPinas2016
Philippine Presidential Candidates
#PHVoteDuterte
#PHVotePoe
#PHVoteBinay
#PHVoteSantiago
#PHVoteRoxas"
sweetchiqchel,I'm curious as to where my lawyer friends stands on the SC decision. #PiliPinas2016
sweetchiqchel,So only in PHL that there's a possibility of a former American citizen to become a Philippine President. #PiliPinas2016
misaki_ueki,#PiliPinas2016 #PHVoteBinay #PHVoteDuterte #PHVotePoe #PHVoteRoxas #PHVoteSantiago  ?? Just checking
GlendaAnte,Being calm and gentle is good but be careful cause some may take advantage of you ;) #PiliPinas2016 #notanantiorpro tho
eiraye,"Sadly, there is no right answer #PiliPinas2016"
superjamela19,ay as in may emoji <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PiliPinas2016
AngIlustradoMo,"Wag iboto ang corrupt!
Isipin ang kinabukasan.

Gamitin ang isip
#pilipinas2016"
primpaypon,The official race for #PiliPinas2016 begins.  https://t.co/cAj9lbv7m2
ReinhartDelfino,Excited for the 2nd Presidential 2016 Debates #PiliPinas2016
TheYannyG,#PiliPinas2016 #PHVoteSantiago
zerocaloriesmc,Sayang #PiliPinas2016 #PHVote #ElectionWatch2016 https://t.co/veiNYejj0a https://t.co/As1D2MkzDo
adobotech,Twitter and COMELEC officially launch exclusive #PiliPinas2016 and... https://t.co/5R5ynMHf7r on @bloglovin
billyorquin,"Cutie

#PiliPinas2016 #PHVoteRoxas #PHVotePoe #PHVoteDuterte #PHVoteBinay #PHVoteSantiago"
Giiiooooo_,#PhVoteSantiago #PiliPinas2016  hala amazing <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
sheimai7,Dahil ang bilis nyang magscan. Smile na lang #PiliPinas2016 #BEIseminar https://t.co/iKqdzwttvX
khwistine,I'm for Duterte but I can live with Grace. #NoToTrapo #PiliPinas2016
PHINews1,.@Twitter launches #PiliPinas2016 emojis https://t.co/DLbLClfGQt @twitter_ph #PiliPinas https://t.co/c7suhRANGv
DogPatch03,"Who is your Candidate? Here's the official Hashtags #PHVoteBinay, #PHVoteDuterte, #PHVotePoe, #PHVoteRoxas, and... https://t.co/v9HPuMQ1gv"
adobotech,Twitter and COMELEC officially launch exclusive #PiliPinas2016 and Presidentialﾅ https://t.co/k68n2RlnCH https://t.co/8VCjqqW8ov
thermokinetics,What a historic SC decision  and potentially a historic election and presidency for @SenGracePOE. #PanaloPoe #PiliPinas2016 @BrianPoeLl
annmariemina__,#PiliPinas2016 #PHVoteRoxas
sheimai7,PiliPinas2016 #comelecslogan https://t.co/64tmFavlRi
ValCyrusNingala,Kid Pe�a suspends Makati sister-city pacts with 670 LGUs via @rapplerdotcom https://t.co/s8S3jclfyj #PiliPinas2016
wckdgabbi,ISANG MALAKING KABOBOHAN! Walang Kwenta!! #Hangalan2016 #PiliPinas2016  https://t.co/3oFzOmUjWt
seolbingcafe,@yansieee DUDE LOOK #PiliPinas2016 #PHVoteDuterte #PHVoteBinay #PHVotePoe #PHVoteSantiago #PHVoteRoxas
pinoymommy,I plan to laugh my way through #Halalan2016. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PiliPinas2016
moody04_,"ma- try nga din... Haha

#PHVoteDuterte 
#PHVoteBinay 
#PHVotePoe 
#PHVoteSantiago 
#PiliPinas2016"
OneMapua,#PiliPinas2016: Do you know who you're voting for? https://t.co/jqHGfovEbu https://t.co/oau6tivBXv
UST_SDP1981,"Proud Thomasian! #BilangTomasino, ipanalo natin ang pamilyang Pilipino! #BoTomasino #Aktiboto #PiliPinas2016 https://t.co/PKJgpesqvA"
phenom0811,She is QUALIFIED to run for President of Republic of the Philippines #PiliPinas2016
NicoleJonFerrer,For undecided voters <ed><U+00A0><U+00BD><ed><U+00B9><U+008B> Check out  #PiliPinas2016 debate @Cazedmunds947 https://t.co/FxpnOdmMgD #ETtuesday  https://t.co/ca65fOHGZx
marina_unicorn,@i_zeronine #PiliPinas2016
MediaStat_PH,"Poll Interim Results: Would you like the candidate to be the next president?

#PiliPinas2016 https://t.co/9pdq1enkvk"
Walkah_Walkah,62 Days to go at Election na. #PiliPinas2016 #PiliPinas
jesterinexile,"tanong lang po

#PiliPinas2016 #PiliPinas #PiliPinasDebates2016 #PHVote #BilangPilipino #Eleksyon2016 

https://t.co/oZPWIzP0LB"
chxsedoza,What if strategy ni Miriam ay mag pull out sa election para mapunta lahat ng boto na sa kanya dapat kay Duterte. Diba? #PiliPinas2016
PSprituality,#PanaloPOE  Magkano POE ang bawat SC Justice para sa 'Sagisag ng #POEWET ng #PiliPinas2016 '?
jet_set_go,"Dear Manila journalists, it's di-GONG (stress on the 2nd syllable), not DEE-gong. You're welcome.
@DorisBigornia @ABSCBNNews #PiliPinas2016"
churvalenn,"In a landmark ruling, SC decided to save #PHVotePoe from disqualification as presidential candidate. #PiliPinas2016"
SmotPoker_,Ipush natin ang menstrual leave sa bawat kumpanya na pwede gamitin monthly. Hahaha. #Pilipinas2016
noelontheroad,"The battle of hash tags: #TraPOE versus #PanaloPOE <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>
#PiliPinas2016 #PHVoteSantiago"
iampetergojrPh,Boto pa. #PHVotePoe #PHVoteBinay #PHVoteDuterte #PHVoteRoxas #PHVoteSantiago #PiliPinas2016 #PiliPinas
ValCyrusNingala,"1,400 Catholic schools back call vs ﾑMarcos snares, Imeldific lies' via @rapplerdotcom https://t.co/SYRVrwbYQ2 #PiliPinas2016"
thatsimplemae,#PHVotePoe #PHVoteDuterte #PHVoteRoxas #PHVoteBinay #PHVoteSantiago who's your President? #PiliPinas2016
rdlmls,"Let's do this, #PiliPinas2016 #PHVotePoe <U+2604>"
mymindpalace221,"may point sya. <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

#PiliPinas2016 https://t.co/zh1CZcJdx1"
beinglilamarie,"#PHVoteDuterte 
#PiliPinas2016"
coolishmarie,One word for Poe: A TRAITOR TO THE PHILIPPINE REPUBLIC! That's six words actually. #NoToPoe #PiliPinas2016
wureverpepper,#PiliPinas2016
UPLBConyos,#Makilahok #UPLBSaHalalan #PiliPinas2016  https://t.co/ss2ntpTzRN
normanbase,#PiliPinas2016
marhgil,"Support ur President! Vote now! 
https://t.co/2k7rgYgRHo

#PHVoteDuterte #PHVoteRoxas #PHVoteBinay #PHVotePoe #PHVoteSantiago #PiliPinas2016"
bcdluna,#PHVotePoe #PiliPinas2016 #undecided https://t.co/SCxDl6SoUv
cresilds,Kung sino magtrending sa #PiliPinas2016 sya na lang daw manalo. Huwaw
MheriaAlcala,"I posted 195 photos on Facebook in the album ""BEI Certification Training/PILIPINAS2016"" https://t.co/g0Vy2Of7L5"
paxlaxina,#PiliPinas2016ﾠ #PHVotePoeﾠ #PHVoteDuterteﾠ #PHVoteRoxasﾠ #PHVoteSantiagoﾠ #PHVoteBinayﾠ  - just because emojis are cool <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
ShirleyanneDela,#PiliPinas2016 COMELEC presser on the SC decision allowing Poe to run for president https://t.co/bArAVWc9Sw
CarloDayto,Road to 'vote-buying'. #PiliPinas2016 #Eleksyon2016  https://t.co/ul29KunFZH
Poka_Valdez,Still Duterte is My President! #Halalan2016 #PiliPinas2016 #PHVoteDuterte
Saiccharides,#PiliPinas2016  https://t.co/GMOlKl0lFY
celisrosette,#PiliPinas2016  https://t.co/KEJQTQuH1O
randomvryan,#PiliPinas2016 #PHVoteDuterte
iamLanceArevada,"Just want to try their emojis. #PiliPinas2016 
#PHVoteBinay 
#PHVoteDuterte 
#PHVotePoe
#PHVoteRoxas
#PHVoteSantiago"
BalmsS,@COMELEC: Comm Robert Lim: the SC decision on VVPAT will affect the Overseas Voting preps.#PiliPinas2016
dauntlessleaha,#PiliPinas2016
toffie_badz,Pikon! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #Eleksyon2016 #PiliPinas2016
ianklsdmbldr,so Grace Poe can run as president. but it doesn't feel right that the rest of her family is not even a citizen of the country #PiliPinas2016
jcl0114,#PiliPinas2016
BalmsS,@COMELEC will bid out supplies to comply with the SC decision including the VVPAT config on EDay. #PiliPinas2016 https://t.co/L2un6vA0CH
pinoymommy,I'm calling it: #PiliPinas2016 is still anybody's game. It's too early to call it any candidate's favor.
bertingputikan,Grace Poe is Qualified to run. #PiliPinas2016
BalmsS,@iamsuperbianca of course! Brought to us by @RaoPratiksha of @twitter and @rapplerdotcom #PiliPinas2016  https://t.co/4QjtQGxyP0
EmilTapnio,"SC votes 9-6, allows #GracePoe to run for president https://t.co/LitJp5c1hp via @ABSCBNNews #PiliPinas2016 #Halalan2016"
Hello_PandaH,Oh just like in the movies... Im ok with a Poe presidency. Wag lang Binay please! #VotePH2016 #PiliPinas2016
kpmontales,Those election hashtag emojis! Cute! Haha! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PiliPinas2016  https://t.co/F95GAeQNW7
minuMUTYA,Seriously?! haha! #PiliPinas2016  https://t.co/KtjRP9Kli9
UPsaHalalan,Supreme Court allows @SenGracePOE to run for president https://t.co/LAs5dgOW4v via @cnnphilippines #PiliPinas2016
jjunbana,As my students would say: Weh? Di nga? #LMAO #NoToBinay #PiliPinas2016  https://t.co/I3DqTbOwvT
ReignGwapito,Supreme Court allows Senator Poe to run for President. Votes 9-6 in favor of Senator Poe. #Eleksyon2016 #Pilipinas2016 #PHVotePoe
alampols,#PiliPinas2016
im_dwtan,JUST IN: the Supreme Court of the Philippines justices voted 9-6 in favor of the Presidential candidacy of Sen. Grace Poe. #PiliPinas2016
pinoymommy,@daxlucas oh yeah. Iﾒm already seeing it now on my timeline. LOL #PiliPinas2016
prolinker,So Senator Poe is cleared to run as President in the upcoming election. Hope she won't get impeached later if she wins. #PiliPinas2016
chxycristina,YES! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> #PHVotePoe #PiliPinas2016
pinoymommy,#DemocracyWins #PiliPinas2016
pinoymommy,@sandymay1978 @missjover #PiliPinas2016 just became more interesting with this development. Now it's really any body's game.
macucherez,"Pag mag 'no' daw sa death penalty, kriminal daw. HAHAHA. TARUNGA SA NANG JUSTICE SYSTEM OY! #Pilipinas2016"
marklouweee,Poe is in! So this would be really a  closed four way battle #PiliPinas2016
_raffysc,"""anak ni Panday yaaaaas""

#PiliPinas2016 https://t.co/0ZxmjGr3XI"
iampomski,"SC allowed Poe to run. Pucha, was it because it's Women's Day?!?!? <ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096> #IWD2016 #PiliPinas2016"
Yojan17,Let's get it on! #PiliPinas2016  https://t.co/ZNEmbxxL7n
charleslemen,Grace Poe is qualified to run! #PiliPinas2016 #PHVoteSantiago
meltlopez,A five-way race it is! #PiliPinas2016 https://t.co/fFr7BLsl8g
Malaya_Online,"@SenGracePOE can run for president, says Supreme Court #PiliPinas2016"
iamLanceArevada,Well congratulations to Sen. Grace Poe for the Supreme Court ruling on her disqualification case. #PiliPinas2016
itsmeMatthewR23,#PHVotePoe #PiliPinas2016  https://t.co/wgduLBxumR
mindanaoan,BREAKING: The Supreme Court has spoken. Senator Grace Poe IS ALLOWED to run. #Pilipinas #juanvote #PiliPinas2016
malayanglumipad,"9-6, in favor of Poe.
#PiliPinas2016"
Menardconnect,#transcript #PiliPinasDebates2016 #PiliPinas2016  https://t.co/PgFP0EkYsB
help017,"The Meaning Of Life
https://t.co/iEw0hJvKZt
https://t.co/D6lnOOV58H
https://t.co/7qQoSghmAc
https://t.co/qFWzgBMgje

#PiliPinas2016"
pinoymommy,The decision on GP's DQ will change the face of #Halalan2016 whichever way it goes. #PiliPinas2016
govph,Information and reminders to help you through the 2016 election season: https://t.co/gUoFPq9Guq #PiliPinas2016 https://t.co/me1i5DCkoU
nagasakiBoi,These politicians are blurring the lines between a political platform and bribery. #PiliPinas2016
ceearbee20,"vow, vow, vow...
bowowowowow. #PiliPinas2016"
roldiegomez,"JUST IN: Voting 14-0, SC orders Comelec to activate Voter Verification Paper Trail (receipts) feature. via Lia Manalac #PiliPinas2016"
govph,"Application for local absentee voting has been extended. For details, visit: https://t.co/l53yY77HxW #PiliPinas2016 https://t.co/IDBwdzkcRh"
mymindpalace221,"Woah.
#PiliPinas2016
#PiliPinas https://t.co/bMft8Q5yw4"
jjunbana,"""Aminﾒs son apologises for his father''s atrocities,"" not FM, Jr.! Shame! Shame! https://t.co/5yRnSHo8Gc #NotAnotherMarcos #PiliPinas2016"
pinoymommy,APC lost steam bcoz his personal &amp; political values are contradictory. #PiliPinas2016
pinoymommy,Is it just me or do you agree that the media is pandering to Du30 by sensationalizing further his outlandish statements? #PiliPinas2016
primpaypon,"Only those who are fools, liars &amp; cronies can say that Marcos regime was Philippines' finest years. #PiliPinas2016  https://t.co/hMpTmorpOw"
conjon027,"BPO Industry pioneer: Gloria, not Mar, did it https://t.co/HwXWijWOTc #PiliPinas2016"
eiraye,"#PiliPinas2016 Ooooh, we have an emoji!!!"
pinoymommy,And don't buy our votes. #PiliPinas2016  https://t.co/ZD02Dnq22I
ManelaSu,#PiliPinas2016  #PHVoteDuterte
qRStuvMojica,Second year student from #EACCavite conducting a study on #PiliPinas2016 #PiliPinasDebates2016 @ﾅ https://t.co/4mcubgVQdx
qRStuvMojica,Second year student from #EACCavite conducting a study on #PiliPinas2016 #PiliPinasDebates2016 https://t.co/evvvK3CdEQ
UST_SDP1981,"Scenic UST! #BilangTomasino, ipanalo natin ang pamilyang Pilipino! #BoTomasino #Aktiboto #PiliPinas2016 https://t.co/PKJgpesqvA"
